date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:26	7899/7899	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:30%20GMT	http://www.w3school.com.cn/xsl/xsl_languages.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xsl/xsl_languages.html	(from http://www.w3school.com.cn/)
02:16:27	10340/10340	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:30%20GMT	http://www.w3school.com.cn/xsl/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xsl/index.html	(from http://www.w3school.com.cn/)
02:17:17	7323/7323	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:20%20GMT	http://www.w3school.com.cn/xpath/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xpath/index.html	(from http://www.w3school.com.cn/)
02:17:21	8074/8074	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:24%20GMT	http://www.w3school.com.cn/xquery/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xquery/index.html	(from http://www.w3school.com.cn/)
02:17:21	6641/6641	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:25%20GMT	http://www.w3school.com.cn/xlink/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xlink/index.html	(from http://www.w3school.com.cn/)
02:17:22	7907/7907	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:25%20GMT	http://www.w3school.com.cn/schema/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/schema/index.html	(from http://www.w3school.com.cn/)
02:17:22	7726/7726	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:26%20GMT	http://www.w3school.com.cn/xforms/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xforms/index.html	(from http://www.w3school.com.cn/)
02:17:23	6706/6706	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:26%20GMT	http://www.w3school.com.cn/wap/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/wap/index.html	(from http://www.w3school.com.cn/)
02:17:23	6900/6900	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:27%20GMT	http://www.w3school.com.cn/svg/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/svg/index.html	(from http://www.w3school.com.cn/)
02:17:24	6935/6935	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:27%20GMT	http://www.w3school.com.cn/webservices/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/webservices/index.html	(from http://www.w3school.com.cn/)
02:17:31	6899/6899	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:34%20GMT	http://www.w3school.com.cn/soap/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/soap/index.html	(from http://www.w3school.com.cn/)
02:17:31	6766/6766	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:35%20GMT	http://www.w3school.com.cn/rss/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/rss/index.html	(from http://www.w3school.com.cn/)
02:17:32	6891/6891	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:35%20GMT	http://www.w3school.com.cn/rdf/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/rdf/index.html	(from http://www.w3school.com.cn/)
02:17:33	13286/13286	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:36%20GMT	http://www.w3school.com.cn/aspnet/webpages_intro.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/aspnet/webpages_intro.html	(from http://www.w3school.com.cn/)
02:17:33	6440/6440	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:34%20GMT	http://www.w3school.com.cn/wsdl/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/wsdl/index.html	(from http://www.w3school.com.cn/)
02:17:33	11020/11020	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:37%20GMT	http://www.w3school.com.cn/aspnet/razor_intro.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/aspnet/razor_intro.html	(from http://www.w3school.com.cn/)
02:17:34	12886/12886	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:38%20GMT	http://www.w3school.com.cn/aspnet/mvc_intro.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/aspnet/mvc_intro.html	(from http://www.w3school.com.cn/)
02:17:35	12660/12660	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:36%20GMT	http://www.w3school.com.cn/aspnet/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/aspnet/index.html	(from http://www.w3school.com.cn/)
02:17:36	13708/13708	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:39%20GMT	http://www.w3school.com.cn/aspnet/aspnet_intro.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/aspnet/aspnet_intro.html	(from http://www.w3school.com.cn/)
02:17:37	6385/6385	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:40%20GMT	http://www.w3school.com.cn/site/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/site/index.html	(from http://www.w3school.com.cn/)
02:17:38	8122/8122	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:41%20GMT	http://www.w3school.com.cn/w3c/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/w3c/index.html	(from http://www.w3school.com.cn/)
02:17:38	7555/7555	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:42%20GMT	http://www.w3school.com.cn/browsers/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/browsers/index.html	(from http://www.w3school.com.cn/)
02:17:38	6250/6250	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:42%20GMT	http://www.w3school.com.cn/quality/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/quality/index.html	(from http://www.w3school.com.cn/)
02:17:39	7353/7353	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:17:43%20GMT	http://www.w3school.com.cn/semweb/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/semweb/index.html	(from http://www.w3school.com.cn/)
02:18:01	7349/7349	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:04%20GMT	http://www.w3school.com.cn/hosting/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/hosting/index.html	(from http://www.w3school.com.cn/)
02:18:01	8185/8185	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:05%20GMT	http://www.w3school.com.cn/media/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/media/index.html	(from http://www.w3school.com.cn/)
02:18:02	5784/5784	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:05%20GMT	http://www.w3school.com.cn/about/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/about/index.html	(from http://www.w3school.com.cn/)
02:18:03	7183/7183	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:06%20GMT	http://www.w3school.com.cn/about/about_helping.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/about/about_helping.html	(from http://www.w3school.com.cn/)
